VARIABLE1,REGISTRO,DATE,Temp
1,1,20-4-2018 10:25:52,24.5
1,2,20-4-2018 10:25:54,24.5
1,3,20-4-2018 10:25:56,24.5
1,4,20-4-2018 10:25:58,24.5
1,5,20-4-2018 10:26:00,24.5
1,6,20-4-2018 10:26:02,24.5
1,7,20-4-2018 10:26:04,24.5
1,8,20-4-2018 10:26:06,24.5
1,9,20-4-2018 10:26:08,24.5
1,10,20-4-2018 10:26:10,24.5
1,11,20-4-2018 10:26:12,24.5
1,12,20-4-2018 10:26:14,24.5
1,13,20-4-2018 10:26:16,24.5
1,14,20-4-2018 10:26:19,24.5
1,15,20-4-2018 10:26:21,24.5
1,16,20-4-2018 10:26:23,24.5
1,17,20-4-2018 10:26:25,24.5
1,18,20-4-2018 10:26:27,24.5
1,19,20-4-2018 10:26:29,-127
1,20,20-4-2018 10:26:31,24.5
1,21,20-4-2018 10:26:33,24.5
1,22,20-4-2018 10:26:35,24.5
1,23,20-4-2018 10:26:37,24.5
1,24,20-4-2018 10:26:39,24.5
1,25,20-4-2018 10:26:41,24.5
1,26,20-4-2018 10:26:43,24.5
1,27,20-4-2018 10:26:45,24.5
1,28,20-4-2018 10:26:47,24.5
1,29,20-4-2018 10:26:49,24.5
1,30,20-4-2018 10:26:51,24.5
1,31,20-4-2018 10:26:53,24.5
1,32,20-4-2018 10:26:55,24.5
1,33,20-4-2018 10:26:57,24.5
1,34,20-4-2018 10:26:59,24.5
1,35,20-4-2018 10:27:01,24.5
1,36,20-4-2018 10:27:03,24.5
1,37,20-4-2018 10:27:05,24.5
1,38,20-4-2018 10:27:07,24.5
1,39,20-4-2018 10:27:09,24.5
1,40,20-4-2018 10:27:11,-127
1,41,20-4-2018 10:27:13,24.5
1,42,20-4-2018 10:27:15,-127
1,43,20-4-2018 10:27:17,-127
1,44,20-4-2018 10:27:19,24.5
1,45,20-4-2018 10:27:21,24.5
1,46,20-4-2018 10:27:23,-127
1,47,20-4-2018 10:27:25,24.5
1,48,20-4-2018 10:27:27,24.5
1,49,20-4-2018 10:27:29,24.5
1,50,20-4-2018 10:27:31,24.44
1,51,20-4-2018 10:27:33,24.5
1,52,20-4-2018 10:27:35,24.44
1,53,20-4-2018 10:27:37,24.44
1,54,20-4-2018 10:27:39,24.44
1,55,20-4-2018 10:27:41,24.44
1,56,20-4-2018 10:27:43,24.44
1,57,20-4-2018 10:27:45,24.44
1,58,20-4-2018 10:27:47,24.44
1,59,20-4-2018 10:27:49,24.44
1,60,20-4-2018 10:27:51,24.44
1,61,20-4-2018 10:27:53,24.44
1,62,20-4-2018 10:27:55,24.44
1,63,20-4-2018 10:27:57,24.44
1,64,20-4-2018 10:28:00,24.38
1,65,20-4-2018 10:28:02,24.38
1,66,20-4-2018 10:28:04,24.38
1,67,20-4-2018 10:28:06,24.38
1,68,20-4-2018 10:28:08,-127
1,69,20-4-2018 10:28:10,24.38
1,70,20-4-2018 10:28:12,24.38
1,71,20-4-2018 10:28:14,24.38
1,72,20-4-2018 10:28:16,24.38
1,73,20-4-2018 10:28:18,24.38
1,74,20-4-2018 10:28:20,24.31
1,75,20-4-2018 10:28:22,24.31
1,76,20-4-2018 10:28:24,24.31
1,77,20-4-2018 10:28:26,24.31
1,78,20-4-2018 10:28:28,24.31
1,79,20-4-2018 10:28:30,24.31
1,80,20-4-2018 10:28:32,24.31
1,81,20-4-2018 10:28:34,24.31
1,82,20-4-2018 10:28:36,24.31
1,83,20-4-2018 10:28:38,24.31
1,84,20-4-2018 10:28:40,-127
1,85,20-4-2018 10:28:42,24.31
1,86,20-4-2018 10:28:44,-127
1,87,20-4-2018 10:28:46,24.31
1,88,20-4-2018 10:28:48,24.31
1,89,20-4-2018 10:28:50,24.25
1,90,20-4-2018 10:28:52,24.25
1,91,20-4-2018 10:28:54,24.25
1,92,20-4-2018 10:28:56,24.25
1,93,20-4-2018 10:28:58,24.31
1,94,20-4-2018 10:29:00,24.25
1,95,20-4-2018 10:29:02,24.25
1,96,20-4-2018 10:29:04,24.25
1,97,20-4-2018 10:29:06,24.25
1,98,20-4-2018 10:29:08,24.25
1,99,20-4-2018 10:29:10,-127
1,100,20-4-2018 10:29:12,24.25
1,101,20-4-2018 10:29:14,24.25
1,102,20-4-2018 10:29:16,24.25
1,103,20-4-2018 10:29:18,-127
1,104,20-4-2018 10:29:20,24.25
1,105,20-4-2018 10:29:22,24.25
1,106,20-4-2018 10:29:24,24.25
1,107,20-4-2018 10:29:26,24.25
1,108,20-4-2018 10:29:28,24.19
1,109,20-4-2018 10:29:30,24.19
1,110,20-4-2018 10:29:32,24.19
1,111,20-4-2018 10:29:34,24.19
1,112,20-4-2018 10:29:36,24.19
1,113,20-4-2018 10:29:38,24.19
1,114,20-4-2018 10:29:40,24.19
1,115,20-4-2018 10:29:42,24.19
1,116,20-4-2018 10:29:44,24.19
1,117,20-4-2018 10:29:47,24.19
1,118,20-4-2018 10:29:49,24.13
1,119,20-4-2018 10:29:51,24.13
1,120,20-4-2018 10:29:53,24.19
1,121,20-4-2018 10:29:55,-127
1,122,20-4-2018 10:29:57,-127
1,123,20-4-2018 10:29:59,-127
1,124,20-4-2018 10:30:01,24.13
1,125,20-4-2018 10:30:03,24.13
1,126,20-4-2018 10:30:05,24.13
1,127,20-4-2018 10:30:07,24.13
1,128,20-4-2018 10:30:09,24.13
1,129,20-4-2018 10:30:11,24.13
1,130,20-4-2018 10:30:13,24.13
1,131,20-4-2018 10:30:15,24.13
1,132,20-4-2018 10:30:17,24.13
1,133,20-4-2018 10:30:19,24.13
1,134,20-4-2018 10:30:21,24.13
1,135,20-4-2018 10:30:23,24.13
1,136,20-4-2018 10:30:25,24.13
1,137,20-4-2018 10:30:27,24.13
1,138,20-4-2018 10:30:29,24.13
1,139,20-4-2018 10:30:31,-127
1,140,20-4-2018 10:30:33,24.06
1,141,20-4-2018 10:30:35,24.06
1,142,20-4-2018 10:30:37,24.06
