Date;Time;Temp;Indice UV;UV REF;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:25:52 a. m.;24,5;2929;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:25:54 a. m.;24,5;2587;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:25:56 a. m.;24,5;3115;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:25:58 a. m.;24,5;3593;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:00 a. m.;24,5;3359;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:02 a. m.;24,5;2519;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:04 a. m.;24,5;3144;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:06 a. m.;24,5;3857;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:08 a. m.;24,5;2729;3300,78;;;;;;;;;,;;;;;;;;;;;;
20/4/2018;10:26:10 a. m.;24,5;3095;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:12 a. m.;24,5;4003;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:14 a. m.;24,5;2480;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:16 a. m.;24,5;3227;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:19 a. m.;24,5;3056;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:21 a. m.;24,5;2841;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:23 a. m.;24,5;3793;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:25 a. m.;24,5;2705;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:27 a. m.;24,5;3061;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:29 a. m.;-127;3862;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:31 a. m.;24,5;2792;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:33 a. m.;24,5;2875;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:35 a. m.;24,5;3198;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:37 a. m.;24,5;3383;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:39 a. m.;24,5;2568;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:41 a. m.;24,5;2968;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:43 a. m.;24,5;3076;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:45 a. m.;24,5;3750;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:47 a. m.;24,5;2670;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:49 a. m.;24,5;2573;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:51 a. m.;24,5;3100;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:53 a. m.;24,5;2456;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:55 a. m.;24,5;3076;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:57 a. m.;24,5;3447;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:26:59 a. m.;24,5;2504;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:01 a. m.;24,5;3085;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:03 a. m.;24,5;3041;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:05 a. m.;24,5;2524;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:07 a. m.;24,5;3149;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:09 a. m.;24,5;3300;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:11 a. m.;-127;2500;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:13 a. m.;24,5;3149;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:15 a. m.;-127;2968;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:17 a. m.;-127;3061;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:19 a. m.;24,5;4018;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:21 a. m.;24,5;2670;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:23 a. m.;-127;3193;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:25 a. m.;24,5;3745;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:27 a. m.;24,5;2592;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:29 a. m.;24,5;2958;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:31 a. m.;24,44;3168;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:33 a. m.;24,5;3466;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:35 a. m.;24,44;2539;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:37 a. m.;24,44;3701;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:39 a. m.;24,44;3115;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:41 a. m.;24,44;2514;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:43 a. m.;24,44;3222;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:45 a. m.;24,44;3564;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:47 a. m.;24,44;2436;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:49 a. m.;24,44;3159;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:51 a. m.;24,44;3803;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:53 a. m.;24,44;2514;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:55 a. m.;24,44;3237;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:27:57 a. m.;24,44;3554;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:00 a. m.;24,38;2402;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:02 a. m.;24,38;3183;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:04 a. m.;24,38;3793;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:06 a. m.;24,38;2631;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:08 a. m.;-127;3125;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:10 a. m.;24,38;2543;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:12 a. m.;24,38;3974;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:14 a. m.;24,38;2714;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:16 a. m.;24,38;2680;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:18 a. m.;24,38;3061;3300,78;;;;;;;;;;;;;;;;;;;;;
